sample_id Sequencing_Instrument Sequencing_Batch herd Lactatation days_in_milk methane_grams_per_day
181_c 2 9 6 3 203 387.51
72_c 2 8 6 2 414 364.51
191_c 2 8 6 3 7 411.51
139_c 2 7 6 3 63 431.51
147_c 2 7 6 3 56 468.51
199_c 2 8 6 2 119 481.51
136_c 2 7 6 3 43 478.51
177_c 2 9 6 2 168 457.51
182_c 2 9 6 2 91 440.51
174_c 2 9 6 2 14 306.51
210_c 2 10 6 2 105 415.51
206_c 2 8 6 2 126 526.51
163_c 2 9 6 2 119 379.51
185_c 2 8 6 2 161 353.51
189_c 2 8 6 2 71 384.51
195_c 2 8 6 2 64 341.51
196_c 2 8 6 2 35 390.51
176_c 2 9 6 2 14 400.51
202_c 2 8 6 2 203 433.51
157_c 2 7 6 2 112 415.51
131_c 2 9 6 2 42 466.51
145_c 2 7 6 2 105 506.51
148_c 2 7 6 2 35 394.51
128_c 2 9 6 2 70 468.51
116_c 2 9 6 1 406 437.51
112_c 2 8 6 2 7 396.51
130_c 2 9 6 2 92 375.51
146_c 2 7 6 2 77 454.51
124_c 2 9 6 1 266 417.51
120_c 2 9 6 1 350 407.51
154_c 2 7 6 2 15 528.51
149_c 2 7 6 2 14 354.51
138_c 2 7 6 1 336 495.51
110_c 2 8 6 1 210 384.51
156_c 2 7 6 1 266 432.51
114_c 2 9 6 1 267 366.51
123_c 2 9 6 1 273 387.51
121_c 2 9 6 1 189 433.51
204_c 2 8 6 1 252 519.51
193_c 2 8 6 1 231 333.51
134_c 2 9 6 1 210 383.51
144_c 2 7 6 1 226 322.51
186_c 2 8 6 1 147 353.51
173_c 2 9 6 1 203 372.51
109_c 2 8 6 1 189 459.51
209_c 2 10 6 1 190 405.51
104_c 2 8 6 1 161 344.51
108_c 2 8 6 1 182 347.51
129_c 2 9 6 1 154 331.51
137_c 2 7 6 1 168 333.51
140_c 2 7 6 1 133 378.51
151_c 2 7 6 1 98 379.51
178_c 2 9 6 1 126 383.51
153_c 2 7 6 1 133 397.51
203_c 2 8 6 1 98 368.51
143_c 2 7 6 1 105 355.51
208_c 2 10 6 1 49 388.51
167_c 2 9 6 1 77 369.51
201_c 2 8 6 1 77 356.51
122_c 2 9 6 1 64 352.51
152_c 2 7 6 1 77 320.51
165_c 2 9 6 1 35 315.51
164_c 2 9 6 1 63 377.51
170_c 2 9 6 1 56 383.51
187_c 2 8 6 1 35 373.51
127_c 2 9 6 1 14 325.51
117_c 2 9 6 1 28 319.51
113_c 2 9 6 1 35 334.51
